algorithm,entries,average,best,worst
gnome_sort,1000,0.0628,0.0001,0.1164
gnome_sort,5000,1.6024,0.0005,3.1179
gnome_sort,10000,6.4512,0.0009,12.4046
gnome_sort,20000,25.5052,0.0018,49.9782
gnome_sort,50000,162.6969,0.0045,315.7544
gnome_sort,75000,368.1113,0.0071,703.0043
gnome_sort,100000,657.6555,0.009,1249.8223
cocktail_sort,1000,0.0396,0.0001,0.0641
cocktail_sort,5000,0.9772,0.0003,1.6146
cocktail_sort,10000,3.94,0.0005,6.4601
cocktail_sort,20000,15.7232,0.001,25.7864
cocktail_sort,50000,100.4074,0.0026,162.8044
cocktail_sort,75000,225.1715,0.0039,363.2858
cocktail_sort,100000,399.5283,0.0051,644.9873
selection_sort,1000,0.0196,0.0197,0.0203
selection_sort,5000,0.4774,0.475,0.4966
selection_sort,10000,1.9046,1.8974,1.9871
selection_sort,20000,7.6756,7.5812,7.9474
selection_sort,50000,49.5513,48.2436,50.1784
selection_sort,75000,110.6831,106.656,111.7263
selection_sort,100000,197.0963,189.8837,198.6002
merge_sort,1000,0.0017,0.0013,0.0014
merge_sort,5000,0.0097,0.008,0.0085
merge_sort,10000,0.0219,0.0176,0.0187
merge_sort,20000,0.0451,0.0369,0.0393
merge_sort,50000,0.1276,0.1037,0.1089
merge_sort,75000,0.1976,0.1588,0.1635
merge_sort,100000,0.2708,0.2079,0.2211
